movie_title,username,numeric_rating,likes,language,comment,cleaned_comment,sentiment_raw,sentiment
Dragonball Evolution,matzvicarius,5.0,0,pt,mt bom filme da minha infansia,"['mt', 'bom', 'filme', 'infansia']",1.0,1
Dragonball Evolution,ourisallan,0.5,0,pt,Pior do que horrível,"['pior', 'horrível']",-2.0,-1
Dragonball Evolution,luk3t4,0.0,0,pt,"BRIGA FORTE PARA O PIOR FILME, PIOR ADAPTAÇÃO JÁ FEITA NA HISTÓRIA DO CINEMA","['briga', 'forte', 'pior', 'filme', 'pior', 'adaptação', 'feita', 'história', 'cinema']",-2.1,-1
Dragonball Evolution,oantoniomarcus,0.5,0,pt,Esse filme foi feito por alguém que deve odiar muito Dragon Ball,"['filme', 'feito', 'alguém', 'deve', 'odiar', 'dragon', 'ball']",-1.0,-1
Dragonball Evolution,clojnerr,0.5,0,pt,Esse filme é muito ÉPICO,"['filme', 'épico']",0.0,0
Dragonball Evolution,feskk,0.0,0,pt,o pior filme que já vi na vida. minha régua de ruindade,"['pior', 'filme', 'vi', 'vida', 'régua', 'ruindade']",1.0,1
Dragonball Evolution,gacentenaro,0.5,0,pt,"Uma aberração total. Cenas mal feitas e toscas que chega a dar vergonha, além de um roteiro horroroso. Que acaba sendo uma ofensa ao manga e o anime.","['aberração', 'total', 'cenas', 'mal', 'feitas', 'toscas', 'chega', 'dar', 'vergonha', 'além', 'roteiro', 'horroroso', 'acaba', 'sendo', 'ofensa', 'manga', 'anime']",-4.6000000000000005,-1
Dragonball Evolution,wesleysz,0.5,0,pt,O que judiaram com seu dragon ball akira toriyama...,"['judiaram', 'dragon', 'ball', 'akira', 'toriyama']",0.0,0
Dragonball Evolution,jvstakashi,0.5,0,pt,"não ,apenas não. Americanos e o dom de estragar em tudo que tocam","['não', 'apenas', 'não', 'americanos', 'dom', 'estragar', 'tudo', 'tocam']",0.0,0
Dragonball Evolution,yannes008,0.5,0,pt,Eu ainda quero reassistir esse filme muito chapado um dia,"['ainda', 'quero', 'reassistir', 'filme', 'chapado', 'dia']",0.0,0
Dragonball Evolution,vinte1,2.0,0,pt,1 estrela pela coragem que tiveram de produzir isso e a segunda estrela por terem mais coragem ainda de colocar pós crédito no filme,"['1', 'estrela', 'coragem', 'produzir', 'segunda', 'estrela', 'terem', 'coragem', 'ainda', 'colocar', 'pós', 'crédito', 'filme']",1.0,1
